schema_ver,record_id,seq,epoch_utc,iso8601_local,raw_rtd_ohms,raw_temp_c,cal_temp_c,flags,node_id
2,104087,104087,1768279320,2026-01-12T22:42:00.229-06:00,109.508,24.415,24.415,0x0001,98:A3:16:12:57:B0
2,104088,104088,1768279321,2026-01-12T22:42:01.289-06:00,109.495,24.381,24.381,0x0001,98:A3:16:12:57:B0
2,104089,104089,1768279322,2026-01-12T22:42:02.349-06:00,109.495,24.381,24.381,0x0001,98:A3:16:12:57:B0
2,104090,104090,1768279323,2026-01-12T22:42:03.409-06:00,109.495,24.381,24.381,0x0001,98:A3:16:12:57:B0
2,104091,104091,1768279324,2026-01-12T22:42:04.469-06:00,109.482,24.346,24.346,0x0001,98:A3:16:12:57:B0
2,104092,104092,1768279325,2026-01-12T22:42:05.529-06:00,109.482,24.346,24.346,0x0001,98:A3:16:12:57:B0
2,104093,104093,1768279326,2026-01-12T22:42:06.589-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104094,104094,1768279327,2026-01-12T22:42:07.649-06:00,109.495,24.381,24.381,0x0001,98:A3:16:12:57:B0
2,104095,104095,1768279328,2026-01-12T22:42:08.709-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104096,104096,1768279329,2026-01-12T22:42:09.769-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104097,104097,1768279330,2026-01-12T22:42:10.829-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104098,104098,1768279331,2026-01-12T22:42:11.889-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104099,104099,1768279332,2026-01-12T22:42:12.949-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104100,104100,1768279334,2026-01-12T22:42:14.009-06:00,109.468,24.312,24.312,0x0001,98:A3:16:12:57:B0
2,104101,104101,1768279335,2026-01-12T22:42:15.069-06:00,109.455,24.277,24.277,0x0001,98:A3:16:12:57:B0
2,104102,104102,1768279336,2026-01-12T22:42:16.129-06:00,109.455,24.277,24.277,0x0001,98:A3:16:12:57:B0
2,104103,104103,1768279337,2026-01-12T22:42:17.189-06:00,109.455,24.277,24.277,0x0001,98:A3:16:12:57:B0
2,104104,104104,1768279338,2026-01-12T22:42:18.249-06:00,109.455,24.277,24.277,0x0001,98:A3:16:12:57:B0
2,104105,104105,1768279339,2026-01-12T22:42:19.309-06:00,109.442,24.242,24.242,0x0001,98:A3:16:12:57:B0
2,104106,104106,1768279340,2026-01-12T22:42:20.369-06:00,109.455,24.277,24.277,0x0001,98:A3:16:12:57:B0
2,104107,104107,1768279341,2026-01-12T22:42:21.429-06:00,109.442,24.242,24.242,0x0001,98:A3:16:12:57:B0
2,104108,104108,1768279342,2026-01-12T22:42:22.489-06:00,109.442,24.242,24.242,0x0001,98:A3:16:12:57:B0
2,104109,104109,1768279343,2026-01-12T22:42:23.549-06:00,109.442,24.242,24.242,0x0001,98:A3:16:12:57:B0
2,104110,104110,1768279344,2026-01-12T22:42:24.609-06:00,109.442,24.242,24.242,0x0001,98:A3:16:12:57:B0
2,104111,104111,1768279345,2026-01-12T22:42:25.669-06:00,109.429,24.208,24.208,0x0001,98:A3:16:12:57:B0
2,104112,104112,1768279346,2026-01-12T22:42:26.729-06:00,109.429,24.208,24.208,0x0001,98:A3:16:12:57:B0
2,104113,104113,1768279347,2026-01-12T22:42:27.789-06:00,109.429,24.208,24.208,0x0001,98:A3:16:12:57:B0
2,104114,104114,1768279348,2026-01-12T22:42:28.849-06:00,109.429,24.208,24.208,0x0001,98:A3:16:12:57:B0
2,104115,104115,1768279349,2026-01-12T22:42:29.909-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104116,104116,1768279350,2026-01-12T22:42:30.969-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104117,104117,1768279352,2026-01-12T22:42:32.029-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104118,104118,1768279353,2026-01-12T22:42:33.089-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104119,104119,1768279354,2026-01-12T22:42:34.149-06:00,109.403,24.139,24.139,0x0001,98:A3:16:12:57:B0
2,104120,104120,1768279355,2026-01-12T22:42:35.209-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104121,104121,1768279356,2026-01-12T22:42:36.269-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104122,104122,1768279357,2026-01-12T22:42:37.329-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104123,104123,1768279358,2026-01-12T22:42:38.389-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104124,104124,1768279359,2026-01-12T22:42:39.449-06:00,109.416,24.173,24.173,0x0001,98:A3:16:12:57:B0
2,104125,104125,1768279360,2026-01-12T22:42:40.509-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104126,104126,1768279361,2026-01-12T22:42:41.569-06:00,109.403,24.139,24.139,0x0001,98:A3:16:12:57:B0
2,104127,104127,1768279362,2026-01-12T22:42:42.629-06:00,109.403,24.139,24.139,0x0001,98:A3:16:12:57:B0
2,104128,104128,1768279363,2026-01-12T22:42:43.689-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104129,104129,1768279364,2026-01-12T22:42:44.749-06:00,109.403,24.139,24.139,0x0001,98:A3:16:12:57:B0
2,104130,104130,1768279365,2026-01-12T22:42:45.809-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104131,104131,1768279366,2026-01-12T22:42:46.869-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104132,104132,1768279367,2026-01-12T22:42:47.929-06:00,109.403,24.139,24.139,0x0001,98:A3:16:12:57:B0
2,104133,104133,1768279368,2026-01-12T22:42:48.989-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104134,104134,1768279370,2026-01-12T22:42:50.049-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104135,104135,1768279371,2026-01-12T22:42:51.109-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104136,104136,1768279372,2026-01-12T22:42:52.169-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104137,104137,1768279373,2026-01-12T22:42:53.229-06:00,109.390,24.104,24.104,0x0001,98:A3:16:12:57:B0
2,104138,104138,1768279374,2026-01-12T22:42:54.289-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104139,104139,1768279375,2026-01-12T22:42:55.349-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104140,104140,1768279376,2026-01-12T22:42:56.409-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104141,104141,1768279377,2026-01-12T22:42:57.469-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104142,104142,1768279378,2026-01-12T22:42:58.529-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104143,104143,1768279379,2026-01-12T22:42:59.589-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104144,104144,1768279380,2026-01-12T22:43:00.649-06:00,109.377,24.070,24.070,0x0001,98:A3:16:12:57:B0
2,104145,104145,1768279381,2026-01-12T22:43:01.709-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104146,104146,1768279382,2026-01-12T22:43:02.769-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104147,104147,1768279383,2026-01-12T22:43:03.829-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104148,104148,1768279384,2026-01-12T22:43:04.889-06:00,109.363,24.035,24.035,0x0001,98:A3:16:12:57:B0
2,104149,104149,1768279385,2026-01-12T22:43:05.949-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104150,104150,1768279387,2026-01-12T22:43:07.009-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104151,104151,1768279388,2026-01-12T22:43:08.069-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104152,104152,1768279389,2026-01-12T22:43:09.129-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104153,104153,1768279390,2026-01-12T22:43:10.189-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104154,104154,1768279391,2026-01-12T22:43:11.249-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104155,104155,1768279392,2026-01-12T22:43:12.309-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104156,104156,1768279393,2026-01-12T22:43:13.369-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104157,104157,1768279394,2026-01-12T22:43:14.429-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104158,104158,1768279395,2026-01-12T22:43:15.489-06:00,109.350,24.001,24.001,0x0001,98:A3:16:12:57:B0
2,104159,104159,1768279396,2026-01-12T22:43:16.549-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104160,104160,1768279397,2026-01-12T22:43:17.609-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104161,104161,1768279398,2026-01-12T22:43:18.669-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104162,104162,1768279399,2026-01-12T22:43:19.729-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104163,104163,1768279400,2026-01-12T22:43:20.789-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104164,104164,1768279401,2026-01-12T22:43:21.849-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104165,104165,1768279402,2026-01-12T22:43:22.909-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104166,104166,1768279403,2026-01-12T22:43:23.969-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104167,104167,1768279405,2026-01-12T22:43:25.029-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104168,104168,1768279406,2026-01-12T22:43:26.089-06:00,109.337,23.967,23.967,0x0001,98:A3:16:12:57:B0
2,104169,104169,1768279407,2026-01-12T22:43:27.149-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104170,104170,1768279408,2026-01-12T22:43:28.209-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104171,104171,1768279409,2026-01-12T22:43:29.269-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104172,104172,1768279410,2026-01-12T22:43:30.329-06:00,109.324,23.933,23.933,0x0001,98:A3:16:12:57:B0
2,104173,104173,1768279411,2026-01-12T22:43:31.389-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104174,104174,1768279412,2026-01-12T22:43:32.449-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
