schema_ver,seq,epoch_utc,iso8601_local,raw_rtd_ohms,raw_temp_c,cal_temp_c,flags,node_id
1,2568,1766767399,2025-12-26T10:43:19.532-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2569,1766767400,2025-12-26T10:43:20.591-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2570,1766767401,2025-12-26T10:43:21.652-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2571,1766767402,2025-12-26T10:43:22.712-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2572,1766767403,2025-12-26T10:43:23.772-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2573,1766767404,2025-12-26T10:43:24.832-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2574,1766767405,2025-12-26T10:43:25.891-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2575,1766767406,2025-12-26T10:43:26.952-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2576,1766767408,2025-12-26T10:43:28.011-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2577,1766767409,2025-12-26T10:43:29.072-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2578,1766767410,2025-12-26T10:43:30.131-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2579,1766767411,2025-12-26T10:43:31.192-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2580,1766767412,2025-12-26T10:43:32.251-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2581,1766767413,2025-12-26T10:43:33.311-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2582,1766767414,2025-12-26T10:43:34.371-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2583,1766767415,2025-12-26T10:43:35.431-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2584,1766767416,2025-12-26T10:43:36.491-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
